query_id,doc_id,relevant,notes
1,arxiv_2604.20263v1,1,
1,arxiv_2605.00930v1,1,
1,arxiv_2605.04930v1,0,
1,arxiv_2605.08012v1,0,
1,b7f03309-85ad-469a-b488-706b416214be,0,
1,biorxiv_10.1101_2025.04.29.651260,0,
1,biorxiv_10.64898_2025.12.30.692369,1,
1,biorxiv_10.64898_2026.01.16.699948,1,
1,crossref_10.1007_978-1-4614-1806-1_78,0,
1,crossref_10.1007_978-3-642-27737-5_395-4,0,
1,crossref_10.1007_978-3-642-73782-4_5,0,
1,crossref_10.1016_j.dsp.2014.02.014,0,
1,fab6680d-2436-428a-9979-c67e1319c78f,0,
1,medrxiv_10.1101_2025.07.07.25331008,0,
1,pubmed_30872376,1,survey-level; on single cell pillar
1,pubmed_31034882,1,
1,pubmed_39178831,1,
1,pubmed_39831541,0,
2,42d12d58-2729-4034-b84a-62dc415227ac,1,scaling law narrative; on-topic
2,63c67759-b837-4d8b-acd2-a643778f0a13,1,scaling law narrati; on-topic
2,a4df0c42-e892-4f8c-9663-8c52b89b03bc,1,
2,arxiv_2601.10684v1,1,
2,arxiv_2604.21085v1,1,
2,arxiv_2604.22620v1,1,memory keyword; weak scaling law contrast
2,arxiv_2605.00768v1,0,
2,arxiv_2605.05151v1,0,
2,arxiv_2605.09409v1,0,
2,arxiv_2605.10795v1,1,
2,arxiv_2605.12466v1,1,
2,arxiv_2605.13807v1,1,
2,arxiv_2605.18732v1,1,
2,beaf4637-71f2-40a4-bae8-ee6372a3c5dc,1,
2,crossref_10.1201_9781003561460-18,0,
2,fabc2c25-d58e-4641-b9c3-f534bb4f8109,0,
2,pubmed_32017616,0,
2,pubmed_39419424,0,
2,pubmed_41083134,0,
2,pubmed_4901403,0,
3,165d652f-8316-4233-94f5-79f05657421c,0,
3,8b54e52c-30ab-47fe-a583-3ac5434286c8,0,
3,arxiv_1904.12848v6,0,
3,arxiv_1904.13093v1,0,
3,arxiv_2604.20573v1,0,
3,arxiv_2605.03952v1,0,
3,arxiv_2605.07905v1,1,
3,arxiv_2605.11221v1,0,
3,arxiv_2605.13801v1,0,
3,arxiv_2605.20168v1,0,
3,arxiv_2605.26079v1,0,
3,arxiv_2605.26100v1,0,
3,crossref_10.1109_ntms.2011.5720587,0,
3,crossref_10.1112_jlms_s2-25.1.43,0,
3,crossref_10.1112_jlms_s2-25.3.425,0,
3,d52279d2-91bb-4a59-bdc7-d0aba2177b09,0,
3,pubmed_20813427,1,on-topic peer-review process
3,pubmed_29789547,1,
3,pubmed_32796941,1,on-topic peer-review process
4,698ea963-02a1-4dd0-8438-e6863e9b8742,1,max entropy/statistical mechanics entropy
4,arxiv_0204011v2,1,
4,arxiv_2010.04213v1,1,max entropy/statistical mechanics entropy
4,arxiv_2601.10763v1,1,
4,arxiv_2604.22298v1,1,
4,arxiv_2605.15837v1,0,
4,arxiv_2605.15985v1,1,
4,arxiv_2605.16724v1,1,
4,c4c4ad56-6cc7-4148-a5b0-81b00e872fef,1,
4,crossref_10.1017_cbo9780511863011.012,0,
4,crossref_10.1038_s41567-024-02764-x,0,
4,crossref_10.1103_physreve.91.032119,0,
4,crossref_10.1142_9789814503648_0022,0,
4,crossref_10.29172_8e3130c3-9c84-483a-9907-a9d304524b5d,0,
