query_id,query_text,dense_only_rows_to_label
1,Probabilistic causal claims single-cell perturbation screens ML-heavy analyses summaries safeguards critiques contemporary arXiv since 2024,8
2,Contrasts transformer scaling-law narratives recurrent memory-augment architectures empirical ablations,10
3,Automated peer-review augmentation leakage critiques datasets,9
4,Dissipative adaptation thermodynamics juxtaposed maximum-entropy framings exploratory statistical physics neuroscience,8
5,Geometric-deep-learning biomedical graph anomaly open pitfalls,8
6,Uncertainty diffusion generative negatives survey,7
7,Jupyter-heavy neuroscience reproducibility container critiques,9
8,Synthetic chart vision-language benchmark distribution-shift critiques,9
9,Self-supervised protein representation pitfalls limited negative controls,10
10,Climate-econometrics causal inference disclaimers cross-domain vague exploratory robustness probe,6
11,Multilingual speech corpora governance/consent summarise,10
12,Robotics sim-to-real adversarial robustness surveys,8
13,Retrieval-augmented radiology assistants evaluation hallucination folklore verify responsibly,8
14,Graph neural oversmoothing critique positional-encoding remedies survey,9
15,Federated differential privacy genomics meta-analysis trade-offs summarise,8
16,Computational polarization modeling ethics exploratory caution,10
17,Transformer carbon-accounting methodological disputes summarise,8
18,Ontology alignment knowledge-graph embedding benchmarking contradictions survey,9
19,SOAR ACT-R CLARION versus neural hybrids history crosswalk summarise,10
20,Hallucination taxonomies conversational scientific assistants fabrication omission confabulation,7
21,Reading-comprehension benchmark saturation leaderboard inflation adversarial filtration,9
22,Astronomical anomaly-detection benchmarking dataset bias summarise,9
23,Multilingual toxicity classifier fairness cultural nuance critique,9
24,Wearable mental-health sensing informed-consent instrumentation critiques summarise,9
25,Differentiable physics simulators reproducibility pitfalls summarise,9
26,Dataset lineage combating scraped recycling summarise,8
27,Few-shot molecular property metric-learning scaffold-split pitfalls summarise,9
28,Conflicting adversarial purification empirical replications summarise cautiously,9
29,Large reasoning-model evaluation transparency chain-of-thought cautions summarise,7
30,Scientific foundation model benchmarking methodological governance cautions summarise,9
