query_id,doc_id,relevant,notes
1,biorxiv_10.64898_2025.12.30.692369,1,
1,crossref_10.1007_978-1-4614-1806-1_78,0,
1,crossref_10.1007_978-3-642-27737-5_395-4,0,
1,crossref_10.1007_978-3-642-73782-4_5,0,
1,crossref_10.1016_j.dsp.2014.02.014,0,
1,fab6680d-2436-428a-9979-c67e1319c78f,0,
1,pubmed_30872376,1,survey-level; on single cell pillar
1,pubmed_31034882,1,
1,pubmed_39178831,1,
1,pubmed_39831541,0,
2,42d12d58-2729-4034-b84a-62dc415227ac,1,scaling law narrative; on-topic
2,63c67759-b837-4d8b-acd2-a643778f0a13,1,scaling law narrati; on-topic
2,arxiv_2604.21085v1,1,
2,arxiv_2604.22620v1,1,memory keyword; weak scaling law contrast
2,arxiv_2605.13807v1,1,
2,crossref_10.1201_9781003561460-18,0,
2,fabc2c25-d58e-4641-b9c3-f534bb4f8109,0,
2,pubmed_32017616,0,
2,pubmed_41083134,0,
2,pubmed_4901403,0,
3,165d652f-8316-4233-94f5-79f05657421c,0,
3,8b54e52c-30ab-47fe-a583-3ac5434286c8,0,
3,arxiv_1904.13093v1,0,
3,arxiv_2604.20573v1,0,
3,crossref_10.1109_ntms.2011.5720587,0,
3,crossref_10.1112_jlms_s2-25.1.43,0,
3,crossref_10.1112_jlms_s2-25.3.425,0,
3,d52279d2-91bb-4a59-bdc7-d0aba2177b09,0,
3,pubmed_20813427,1,on-topic peer-review process
3,pubmed_32796941,1,on-topic peer-review process
4,698ea963-02a1-4dd0-8438-e6863e9b8742,1,max entropy/statistical mechanics entropy
4,arxiv_2010.04213v1,1,max entropy/statistical mechanics entropy
4,arxiv_2605.15837v1,0,
4,crossref_10.1017_cbo9780511863011.012,0,
4,crossref_10.1038_s41567-024-02764-x,0,
4,crossref_10.1103_physreve.91.032119,0,
4,crossref_10.1142_9789814503648_0022,0,
4,crossref_10.29172_8e3130c3-9c84-483a-9907-a9d304524b5d,0,
4,crossref_10.5040_9798400616693.ch-010,0,
4,eaeece5b-a7ba-4ea2-a594-55526b550cf1,1,max entropy/statistical mechanics entropy
5,arxiv_1905.03046v1,1,
5,arxiv_2601.10330v1,0,
5,arxiv_2604.23849v1,0,
5,arxiv_2605.13642v1,0,
5,crossref_10.1007_s42484-021-00056-8,0,QML not geometric biomedical graph
5,crossref_10.1016_j.physb.2008.12.042,0,
5,crossref_10.1103_physreva.9.355,0,
5,fc3a7a49-7238-4375-aeeb-4535a54f4922,1,
5,pubmed_30265280,1,
5,pubmed_32804365,1,
6,arxiv_1903.01608v2,1,
6,arxiv_2605.02767v1,1,
6,arxiv_2605.18204v1,1,
6,crossref_10.1007_978-3-540-85610-8_20,0,
6,crossref_10.1007_978-3-662-44185-5_101078,0,
6,crossref_10.1016_b978-0-12-801768-5.00001-0,0,
6,crossref_10.1016_s0262-4079(23)01670-6,0,
6,crossref_10.1097_00000542-196101000-00059,0,
6,crossref_10.1111_j.1365-2044.1950.tb13692.x,0,
6,f006b180-b023-40c5-a367-ea0b7174982a,1,
7,arxiv_2006.01818v1,1,jupyter+container; weak neuro/repro critique
7,arxiv_2601.07120v1,0,
7,pubmed_33230327,0,
7,pubmed_34519550,0,
7,pubmed_35615852,0,
7,pubmed_35904265,0,
7,pubmed_36065473,0,
7,pubmed_37382093,0,
7,pubmed_37918345,0,
7,pubmed_41259690,0,
8,3af290a5-4f27-41eb-b24a-989ab75f6787,0,
8,arxiv_2605.00789v1,0,
8,arxiv_2605.00800v1,1,
8,arxiv_2605.22767v1,1,
8,arxiv_2605.22816v1,1,
8,crossref_10.1001_jama.1899.92450750019001g,0,
8,crossref_10.1090_conm_146_01242,0,
8,d17b63b5-9458-45e3-91f9-81fb4219406c,1,
8,pubmed_31900451,0,
8,pubmed_36949122,0,
9,arxiv_2006.04697v1,0,
9,arxiv_2605.12208v1,0,
9,crossref_10.1007_978-1-4612-6396-8_1,0,
9,crossref_10.1007_978-3-031-13213-1_3,0,
9,crossref_10.1007_978-981-13-0926-7_7,0,
9,crossref_10.1007_bfb0071001,0,
9,crossref_10.11834_jig.230812,0,
9,pubmed_27499542,0,
9,pubmed_33858591,0,
9,pubmed_9077560,0,
10,094832cb-e8c6-4b55-8a6b-9ccca4270b7d,0,
10,677c798b-64ca-488d-ac0d-b2a67dfcfde2,1,
10,arxiv_2605.23861v1,1,
10,crossref_10.1007_978-3-319-73150-6_11,0,
10,crossref_10.1007_978-981-13-2303-4_2,0,
10,f89dc76b-a0fe-4d6c-8889-7106dae2b23f,1,
10,fab6680d-2436-428a-9979-c67e1319c78f,0,
10,pubmed_28957457,1,ecology/climate causal inference on-topic
10,pubmed_39510921,1,ecology/climate causal inference on-topic
10,pubmed_39831541,1,ecology/climate causal inference on-topic
11,arxiv_2012.13004v1,1,
11,biorxiv_10.64898_2026.01.16.700011,1,
11,crossref_10.1007_bf00342238,0,
11,crossref_10.1007_s11042-021-11345-6,1,
11,crossref_10.1136_bmj.2.5160.1178,0,
11,pubmed_26426283,0,
11,pubmed_31465707,1,
11,pubmed_31570382,1,consent only; not speech corpus
11,pubmed_32767836,1,
11,pubmed_41026600,0,
12,arxiv_1905.03421v3,0,
12,arxiv_1906.01119v1,0,
12,arxiv_2008.01825v2,0,
12,arxiv_2601.10877v1,1,
12,arxiv_2604.28176v1,0,
12,arxiv_2605.04443v1,0,
12,crossref_10.1007_978-3-030-35249-3_9,0,
12,crossref_10.1007_978-3-642-11274-4_3126,0,
12,pubmed_33298517,1,
12,pubmed_37256966,1,"locomotion/robotics bridge, not sim-to-real survey"
13,arxiv_2601.11020v1,0,
13,arxiv_2601.11024v1,1,
13,arxiv_2601.11199v1,0,
13,arxiv_2605.03971v1,1,
13,arxiv_2605.06647v1,1,
13,arxiv_2605.18163v1,1,
13,crossref_10.1016_s0140-6736(53)91025-3,0,
13,crossref_10.1016_s0140-6736(53)91065-4,0,
13,crossref_10.1016_s0140-6736(54)91522-6,0,
13,pubmed_31492406,1,
14,45a70518-17cd-4284-8e54-0840b7d6d836,1,
14,54961904-1994-451a-9bcb-4e4c3d2cd667,1,
14,5532e617-e737-414f-b8e9-bd47d9afe969,0,
14,arxiv_2006.04696v1,1,
